Unfair Workplace Practices and Lack of Growth Opportunities and Poor Work Conditions and Management Support:,rating_date,employee_length,employee_status,employee_type,flags_ceo_approval,rating_overall,rating_work_life,summary,employee_location,employee_job_title,advice_to_management,review_pros,review_cons,rating_compensation_benefits,rating_senior_leadership,rating_career_opportunities,cleaned_summary,cleaned_advice,cleaned_reviewPros,cleaned_reviewCons
66,2025-02-18T00:00:00.000Z,2,REGULAR,Former employees,DISAPPROVE,2,1,"High Pressure to Perform, Difficult to maintain Safety Standards","San Bernardino, CA",ICQA Associate,"Your HR is so protective you're losing connection with your workers, and you should allow unions so that people feel safe to work for you and build a career.","Needed a job fast, onboarding was fast, skills requirements low, pay was at a local average. It was fun to work at a robotics fulfillment center","Metrics are always a part of their work experience. Day to day optimizations, PAs always coming by to give you feedback can make it seem like all that matters is your numbers. Focus on your numbers and output, focus focus focus. Problem for me was that even though I could do great and kept a high quality, maintaining that speed and quality was really draining, especially at 10 hour shifts in an industrial environment with literally only your 2 (sometimes none) neighbors to talk to to pass the long day of repetitive tasks. That's another thing, the physical and mental aspect of the repetitious task is not just mentally draining, but despite their regular safety meetings, warnings, and signs plastered all over the place, there's so much pressure to increase performance consistently that lots of people are cutting corners just to keep from getting canned. I myself ended up with a repetitive motion injury in my hand due to pulling items out of cubbies and it's basically already covered by their policies so there's nothing to do but grin and bear it. My recommendation? Educate yourself on the safety policies, speak up loudly and frequently in group settings when you feel something isn't safe (to keep leadership accountable) and don't push yourself physically to meet your numbers. It's difficult when you've got bills to pay but not worth your long term mobility and health. Build your skills and find work with another company that respects your body more.",3,1,3,high pressure perform difficult maintain safety standards,hr protective youre losing connection workers allow unions people feel safe work build career,needed job fast onboarding fast skills requirements low pay local average fun work robotics fulfillment center,metrics always part work experience day day optimizations pas always coming give feedback make seem like matters numbers focus numbers output focus focus focus problem even though could great kept high quality maintaining speed quality really draining especially 10 hour shifts industrial environment literally 2 sometimes none neighbors talk pass long day repetitive tasks thats another thing physical mental aspect repetitious task mentally draining despite regular safety meetings warnings signs plastered place theres much pressure increase performance consistently lots people cutting corners keep getting canned ended repetitive motion injury hand due pulling items cubbies basically already covered policies theres nothing grin bear recommendation educate safety policies speak loudly frequently group settings feel something isnt safe keep leadership accountable dont push physically meet numbers difficult youve got bills pay worth long term mobility health build skills find work another company respects body
67,2025-02-18T00:00:00.000Z,2,REGULAR,Current employees,,3,0,Good,"Bellevue, WA",Software Development Engineer (SDE),,Good work and lot to learn,Too much work and no work life balance,0,0,0,good, ,good work lot learn,much work work life balance
68,2025-02-17T00:00:00.000Z,1,PART_TIME,"Former employee, less than 1 year",,3,4,Not proper training,"Portland, OR",Sortation Associate,,"Good pay, shift options and benefits",Not being able to train well their employees,0,0,3,proper training, ,good pay shift options benefits,able train well employees
69,2025-02-17T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",APPROVE,5,4,Great Opportunity and Awesome Benefits,"Etna, OH",Associate,Hire me back. I didn’t know what I had until it was gone and I regret leaving.,"The benefits and how the Amazon AtoZ app worked was all great. It was so thorough and simple, and the work was repetitive but made time fly by.","There was a decent bit of people up there that didn’t speak much English and it would be hard to communicate with them sometimes, but everyone was helpful when needed.",5,4,4,great opportunity awesome benefits,hire back didn’t know gone regret leaving,benefits amazon atoz app worked great thorough simple work repetitive made time fly,decent bit people didn’t speak much english would hard communicate sometimes everyone helpful needed
70,2025-02-13T00:00:00.000Z,0,INTERN,Former employee,,4,0,HR Partner Intern at Amazon,"Tampa, FL",HR Partner Intern,,Good pay and benefits for the interns,"Since the site is 24 hours, you may get the night shift",0,0,0,hr partner intern amazon, ,good pay benefits interns,since site 24 hours may get night shift
71,2025-02-12T00:00:00.000Z,0,CONTRACT,Former employee,,2,0,"Good, not great ","Brampton, ON",Fulfillment Associate,,Daytime hours good for work/life balance,Nighttime shift is an absolute mess,0,0,0,good great, ,daytime hours good worklife balance,nighttime shift absolute mess
72,2025-02-11T00:00:00.000Z,0,INTERN,Former employee,,4,0,You get out what you put in,"Spokane, WA",Area Manager Intern,,hands on work with real experience managing associates,overwork the interns like an associate if you don't differentiate yourself or advocate for work,0,0,0,get put, ,hands work real experience managing associates,overwork interns like associate dont differentiate advocate work
73,2025-02-10T00:00:00.000Z,1,PART_TIME,"Current employee, less than 1 year",,5,5,great working place for starters,Paderborn,FC Associate I,,"fixed hours.
both parttime and fulltime available",should pay more for overtime.,5,5,5,great working place starters, ,fixed hours parttime fulltime available,pay overtime
74,2025-02-07T00:00:00.000Z,2,REGULAR,Former employees,APPROVE,5,4,Good salary but difficult targets,"Brampton, ON",Warehouse Associate,Listen to your employees,They provide a healthy salary. Every six months a salary hike and good benefits.,They ask for difficult targets. There are some internal politics that still exist.,4,4,4,good salary difficult targets,listen employees,provide healthy salary every six months salary hike good benefits,ask difficult targets internal politics still exist
75,2025-02-06T00:00:00.000Z,4,PART_TIME,Current employees,APPROVE,4,5,Amazon job,"Delta, BC",Warehouse Worker,,"Good schedule , good pay","Heavy work load, long shifts",5,4,5,amazon job, ,good schedule good pay,heavy work load long shifts
76,2025-02-06T00:00:00.000Z,1,CONTRACT,"Current employee, less than 1 year",APPROVE,5,5,best pay rate,"Gateshead, England",FC Associate,,"good management, best work culture, nice colleagues","shift patterns, break timings, team leads",5,5,5,best pay rate, ,good management best work culture nice colleagues,shift patterns break timings team leads
77,2025-02-04T00:00:00.000Z,4,REGULAR,Current employees,DISAPPROVE,1,1,Hard Pass,"Delta, BC",Process Associate,Focus more on taking care of the people who are driving your productivity and acknowledge they are why you are successful.,"Was a job that paid the bills. 
Makes you really appreciate working somewhere else","Only cared about increasing productivity and not at all about the people. Whoever coined them as equality opportunity employees needs to look up the definition. 
Save your physical and mental well being an look for employment elsewhere.",4,1,1,hard pass,focus taking care people driving productivity acknowledge successful,job paid bills makes really appreciate working somewhere else,cared increasing productivity people whoever coined equality opportunity employees needs look definition save physical mental well look employment elsewhere
78,2025-02-03T00:00:00.000Z,0,REGULAR,Current employee,,4,3,It's not a technical job.,"Boston, MA",Non-Inventory Receiver,,"If you want to have a smooth start at work, I think it's a good idea",Internal promotion is a bit difficult and may take a long time.,4,4,4,technical job, ,want smooth start work think good idea,internal promotion bit difficult may take long time
79,2025-01-28T00:00:00.000Z,0,PART_TIME,Current employee,,4,4,Sueldo base Amazon técnico RME,El Prat de Llobregat,Técnico de mantenimiento industrial,,Horario flexible y muchos pluses en fin de semana,El metro tarda mucho en llegar al prat,4,4,4,sueldo base amazon técnico rme, ,horario flexible muchos pluses en fin de semana,el metro tarda mucho en llegar al prat
80,2025-01-28T00:00:00.000Z,2,REGULAR,Former employees,,4,0,It's a good beginner job,"Chattanooga, TN",Warehouse Packer,,"Job is not hard, the people were friendly and helpful.",12 hour work days during busy times,0,0,0,good beginner job, ,job hard people friendly helpful,12 hour work days busy times
81,2025-01-23T00:00:00.000Z,4,REGULAR,Former employees,APPROVE,2,1,Great benefits on sign in but deteriorate rapidly after first year,"Mississauga, ON",Whs Specialist,,"Fast paced, challenging and great learning opportunities; great overall benefits from day 1","Hectic hours, little flexibility, pay structure, call out culture leads to internal fights to show who is better",3,2,2,great benefits sign deteriorate rapidly first year, ,fast paced challenging great learning opportunities great overall benefits day 1,hectic hours little flexibility pay structure call culture leads internal fights show better
82,2025-01-17T00:00:00.000Z,0,REGULAR,Former employee,NO_OPINION,3,3,"If you can deal with it, it’s a good job",,,,Very simple and not complicated,High expectations and comes with some petty drama,3,2,1,deal it’s good job, ,simple complicated,high expectations comes petty drama
83,2025-01-16T00:00:00.000Z,1,PART_TIME,"Current employee, less than 1 year",,5,0,Amazing,Euskirchen,Sortiermitarbeiter,,"Gute Leitungen.
Gute Mitarbeitern
Gute Arbeit",Es gibt keine Kontras für der Arbeit,0,0,0,amazing, ,gute leitungen gute mitarbeitern gute arbeit,es gibt keine kontras für der arbeit
84,2025-01-15T00:00:00.000Z,0,PART_TIME,Former employee,,3,0,Good place to learn,"Warrington, North West England, England",FC Associate,,Develops a strong work ethic for employees,No consideration of human feeling within the workplace,0,0,0,good place learn, ,develops strong work ethic employees,consideration human feeling within workplace
85,2025-01-11T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",NO_OPINION,3,5,"Amazon FC Hamilton, a great place to work","Hamilton, ON",Associate,Eliminate the hiring freeze.,"I made a mistake leaving, never should have. Hard job to do, but well worth it.","Can't get rehired. They aren't hiring now, or for the last while",4,3,3,amazon fc hamilton great place work,eliminate hiring freeze,made mistake leaving never hard job well worth,cant get rehired arent hiring last
86,2025-01-11T00:00:00.000Z,2,REGULAR,Former employees,,3,1,Don't get too comfortable,"Dallas, TX",Associate,,"The pay is not bad, and you are paid weekly.","They work you like a dog, regardless of age or ability. Their retention rate is ridiculous, and their managers always quit or are moved around.",3,3,2,dont get comfortable, ,pay bad paid weekly,work like dog regardless age ability retention rate ridiculous managers always quit moved around
87,2025-01-11T00:00:00.000Z,1,REGULAR,"Current employee, less than 1 year",APPROVE,3,3,Hard work,"Huntley, IL",Palletizer,Move people around so they can get a break on positions. Give equal work to everyone . My manager favors groups of people,Can work with friends and can sometimes take your time. The job comes with sOME benefits,"A lot of work on the body. Depending where you’re placed, you’re doing the same thing for 10+ hours straight . lifting heavy heavy boxes.",5,2,5,hard work,move people around get break positions give equal work everyone manager favors groups people,work friends sometimes take time job comes benefits,lot work body depending you’re placed you’re thing 10 hours straight lifting heavy heavy boxes
88,2025-01-10T00:00:00.000Z,0,PART_TIME,Current employee,,3,2,Rating,"Edison, NJ",Stower,,"Make own hours
Good pay
Free food sometimes","Receptive 
Brain mush
Boring
Physically and mentally draining",3,3,3,rating, ,make hours good pay free food sometimes,receptive brain mush boring physically mentally draining
89,2025-01-10T00:00:00.000Z,4,REGULAR,Current employees,APPROVE,3,4,Amazing company,"Hamilton, ON",Associate,Be kind,Benefit and vacation and TPO,Big loads hard hours long,4,4,4,amazing company,kind,benefit vacation tpo,big loads hard hours long
90,2025-01-10T00:00:00.000Z,2,REGULAR,Former employees,DISAPPROVE,3,3,Heavy lifting,"Grimes, IA",Associate,,"Ok money, good supervisors, swag bucks",Heavy lifting/ safety is a concern but don't expect them to care or pay you for your injuries,2,2,3,heavy lifting, ,ok money good supervisors swag bucks,heavy lifting safety concern dont expect care pay injuries
91,2025-01-09T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",,4,0,"Fulfillment Center Warehouse Associate Review – Amazon MTN1, Wilmington","Wilmington, DE",Fulfillment Center Warehouse Associate,"Streamline workflows to reduce strain during peak seasons.
Enhance recognition programs to boost morale.
Provide better training for new and current associates.
Act on employee feedback to improve job satisfaction.","Competitive pay and benefits (healthcare, 401k, stock options).
Opportunities for career advancement and skill development.
Fast-paced, engaging work environment.
Supportive team culture with approachable management.
Job stability with a global company.","Physically demanding, especially during peak seasons.
Long shifts with limited break times.
Fluctuating workload, sometimes stressful.
Noisy warehouse environment.",0,0,0,fulfillment center warehouse associate review – amazon mtn1 wilmington,streamline workflows reduce strain peak seasons enhance recognition programs boost morale provide better training new current associates act employee feedback improve job satisfaction,competitive pay benefits healthcare 401k stock options opportunities career advancement skill development fastpaced engaging work environment supportive team culture approachable management job stability global company,physically demanding especially peak seasons long shifts limited break times fluctuating workload sometimes stressful noisy warehouse environment
92,2025-01-08T00:00:00.000Z,1,REGULAR,"Current employee, less than 1 year",APPROVE,2,1,It was terrible,"Monroe, OH",Cherry Picker,Stop flirting with employees and trying to get your way.,The pay was good that’s pretty much it,It’s a lot of drama and it’s all about who you know to do what you wanna do there. Even if you get a different roll you still will be paid the same.,5,1,1,terrible,stop flirting employees trying get way,pay good that’s pretty much,it’s lot drama it’s know wanna even get different roll still paid
93,2025-01-08T00:00:00.000Z,1,PART_TIME,"Current employee, less than 1 year",,4,5,Good Part Time opportunity,"Lubbock, TX",Seasonal Associate,,"The job is repetitive, relatively easy to learn. HR is onsite and helpful.","The job is physically demanding, but once you get used to it it isn't so bad. Work ethic varies greatly, and hard work is not appreciated besides compliments from managers.",4,3,3,good part time opportunity, ,job repetitive relatively easy learn hr onsite helpful,job physically demanding get used isnt bad work ethic varies greatly hard work appreciated besides compliments managers
94,2025-01-03T00:00:00.000Z,2,REGULAR,Former employees,DISAPPROVE,3,2,MCO1 Stow,"Orlando, FL",Warehouse Associate,stowers for waterspiders should not have such an indirect role -- they really do need just a little bit more direction/labor tracking.,"decent pay for the type of work
great benefits (insurance, 401k, company stock and education/Career Choice)
generous time-off policy
plenty of people to get to know if you are a people person","very physically demanding
keeping your job depends on your rate -- your rate can depend on your waterspider who may not care that you do not have enough work/""good"" work to make rate and stay out of the bottom 5%",4,3,2,mco1 stow,stowers waterspiders indirect role really need little bit directionlabor tracking,decent pay type work great benefits insurance 401k company stock educationcareer choice generous timeoff policy plenty people get know people person,physically demanding keeping job depends rate rate depend waterspider may care enough workgood work make rate stay bottom 5
95,2025-01-02T00:00:00.000Z,0,PART_TIME,Current employee,,3,5,Its okay,"Robbinsville, NJ",Warehouse Sortation Associate,,It pays the bills I guess.,The flex up / flex down thing here can be really annoying.,3,2,1,okay, ,pays bills guess,flex flex thing really annoying
96,2025-01-01T00:00:00.000Z,4,REGULAR,Former employees,NO_OPINION,3,4,Good place,"Etna, OH",AA(Amazon Associate),Management keeps rotating,Work on your own terms,Heavy items when slow season,3,3,3,good place,management keeps rotating,work terms,heavy items slow season
97,2024-12-29T00:00:00.000Z,1,CONTRACT,"Current employee, less than 1 year",APPROVE,5,5,unkn,"Manchester, England",Warehouse Fulfillment Associate,the management is very good,Very good and nice culture,need to improve the salary range,5,5,5,unkn,management good,good nice culture,need improve salary range
98,2024-12-29T00:00:00.000Z,0,PART_TIME,Former employee,,5,0,A good place to work at,"Dallas, TX",ICQA Associate,Stay off the cat walk,The benefits starts on day1,The standing for a long period of times and short lunches,0,0,0,good place work,stay cat walk,benefits starts day1,standing long period times short lunches
99,2024-12-27T00:00:00.000Z,2,PART_TIME,Former employees,NO_OPINION,2,3,Wasn’t the greatest,"Greenfield, IN",Sorter Loader,,"The pay was good, and the time off accumulating every shift was nice","They really didn’t care about their workers when I worked there. 
Bathroom breaks were like they were not acceptable",2,3,2,wasn’t greatest, ,pay good time accumulating every shift nice,really didn’t care workers worked bathroom breaks like acceptable
100,2024-12-25T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",DISAPPROVE,1,2,Not worth for the weather and long shifts,"Orlando, FL",Driver Associate,Don't tell your incoming employees that you'll offer bonuses and then say sike when they get hired,"Simple to do, 4 day work week","10 hour shifts and have to deal with heat and rain,",1,1,1,worth weather long shifts,dont tell incoming employees youll offer bonuses say sike get hired,simple 4 day work week,10 hour shifts deal heat rain
101,2024-12-25T00:00:00.000Z,0,PART_TIME,Current employee,APPROVE,3,3,Decent,,Associate,,Decent pay here at this job nothing too crazy,As a part time you only get 15 mins break,2,3,3,decent, ,decent pay job nothing crazy,part time get 15 mins break
102,2024-12-17T00:00:00.000Z,0,REGULAR,Current employee,,5,5,A nice place to work,"Scarborough, ON",Warehouse Associate,,You will gain alot of knowledge,Be ready to stand for the whole shift,5,5,5,nice place work, ,gain alot knowledge,ready stand whole shift
103,2024-12-17T00:00:00.000Z,20,REGULAR,Current employees,,5,5,Great Benefits,"Charleston, TN",Human Resource Associate Partner,,Mutiple time off options. Above average health insurance options.,"Small department, not a lot of room to move up without moving.",4,5,5,great benefits, ,mutiple time options average health insurance options,small department lot room move without moving
105,2024-12-16T00:00:00.000Z,4,REGULAR,Current employees,,1,1,Physically Demanding job,"San Bernardino, CA",Quality Control,,lots of overtime. Worked 60hours/week,"The cons are the same as the pros, but this website doesn't allow me to copy the same response.",1,1,1,physically demanding job, ,lots overtime worked 60hoursweek,cons pros website doesnt allow copy response
106,2024-12-15T00:00:00.000Z,2,PART_TIME,Current employees,DISAPPROVE,4,3,Decent Pay,"Sparrows Point, MD",Associate,,"Freedom
Opportunities
Career choice
Decent Pay","Physically tiring
Poor Training
Not enough benefits",3,3,3,decent pay, ,freedom opportunities career choice decent pay,physically tiring poor training enough benefits
107,2024-12-15T00:00:00.000Z,2,REGULAR,Former employees,,1,1,Cold,"Rugeley, England",,,"Good managers, a lot of overtime available",Cold warehouse. Lonely isolating job,1,3,1,cold, ,good managers lot overtime available,cold warehouse lonely isolating job
108,2024-12-14T00:00:00.000Z,2,REGULAR,Current employees,APPROVE,5,4,Pay,"St. Thomas, ON",Associate,,Good pay rate for Associates,Lot of internal politics in the Amazon warehouses,5,5,5,pay, ,good pay rate associates,lot internal politics amazon warehouses
109,2024-12-12T00:00:00.000Z,0,REGULAR,Current employee,,5,0,Good place,"Council Bluffs, IA",Associate,,Good place to start a warehouse job.,Temperature is a little chilly.,0,0,0,good place, ,good place start warehouse job,temperature little chilly
110,2024-12-11T00:00:00.000Z,2,REGULAR,Former employees,,3,0,Boring,"Jeffersonville, IN",ICQA Associate,,"PTO, same work every night.",Lots of turn over. Monotonous,0,0,0,boring, ,pto work every night,lots turn monotonous
111,2024-12-08T00:00:00.000Z,4,REGULAR,Former employees,,4,4,Amazon,"Goodyear, AZ",Warehouse Worker,,They have really good benefits,Some jobs can get overwhelming,5,4,5,amazon, ,really good benefits,jobs get overwhelming
112,2024-12-07T00:00:00.000Z,0,REGULAR,Current employee,,4,0,Good Job and Pay,"Leeds, England",Warehouse Associate,,"Easy, not much weight to handle","long shifts, stationed in one place",0,0,0,good job pay, ,easy much weight handle,long shifts stationed one place
113,2024-12-05T00:00:00.000Z,4,REGULAR,Current employees,,3,1,"Good money, hardwork","Edmonton, AB",Associate,,Good money better than average job,"Favouritism, no appreciation, more work you do more you’ll get, less work you do less they will give",3,3,3,good money hardwork, ,good money better average job,favouritism appreciation work you’ll get less work less give
114,2024-12-04T00:00:00.000Z,9,REGULAR,Current employees,NO_OPINION,3,1,Hard work,"Windsor, CT",Packer,,Fast Advancements and great benefits,Very high turnover and not much accountability. Very long hours during holiday season.,3,3,3,hard work, ,fast advancements great benefits,high turnover much accountability long hours holiday season
115,2024-12-03T00:00:00.000Z,2,PART_TIME,Current employees,APPROVE,3,3,Not Bad,"Avenel, NJ",FC Associate I,Lower the rate. Or increase the pay. And give out more shifts.,Simple work is required of you.,Their rate per hour is slightly unreasonable due to the fact if the items are heavy in total it’s harder to walk around while pushing the heavy cart.,3,3,3,bad,lower rate increase pay give shifts,simple work required,rate per hour slightly unreasonable due fact items heavy total it’s harder walk around pushing heavy cart
116,2024-12-03T00:00:00.000Z,4,REGULAR,Current employees,DISAPPROVE,1,1,Good benefits bad work culture,"Saint Louis, MO",Inbound Stower,"We are humans with our own lives outside of work. We are somebody’s child, wife, husband, father, mother or grandparent. We are not robots or machines to use and toss away whenever you feel like it. To some of us Amazon is one of our only choices to make a living for our families.","Great benefits, very flexible, lots of different positions to try out incase you don’t like your main role. Free holiday meals once a year. Come and leave work whenever you want using your unpaid time or pto. They lay for school and offer career programs although the tests to get into them are very difficult","Forced mandatory extra time. (My MET was 5 days of 11 1/2 hours and my regular shift is 3 days of 12 hours) you will get forced to cross trained and you will get labor shares to different departments wether you like that position or not. They have a very high expectations for making “rates” in your position. Managers and anyone in lead positions will micromanage and breathe down your neck. You are always getting watched and judged and everyone will shut down any minimal concern you have because nobody cares. They just care about saving their own behind. If you get hurt, well you better pray that you don’t because their AmCare will send you to their own doctor and they will lie and say you weren’t hurt at all so that they don’t have to pay for your injury or have you sue them. Some departments are very strict and WILL find reasons to write you up. You have to use some of your break time to get back to your station and sign in and scan something by the end of your break or you will get in trouble. You will use some of your break time just walking to the break area because it is SO far and so are the restrooms and don’t forget you need to use your break time to come back from break on time or you’ll get in trouble",3,1,3,good benefits bad work culture,humans lives outside work somebody’s child wife husband father mother grandparent robots machines use toss away whenever feel like us amazon one choices make living families,great benefits flexible lots different positions try incase don’t like main role free holiday meals year come leave work whenever want using unpaid time pto lay school offer career programs although tests get difficult,forced mandatory extra time met 5 days 11 12 hours regular shift 3 days 12 hours get forced cross trained get labor shares different departments wether like position high expectations making “rates” position managers anyone lead positions micromanage breathe neck always getting watched judged everyone shut minimal concern nobody cares care saving behind get hurt well better pray don’t amcare send doctor lie say weren’t hurt don’t pay injury sue departments strict find reasons write use break time get back station sign scan something end break get trouble use break time walking break area far restrooms don’t forget need use break time come back break time you’ll get trouble
117,2024-12-02T00:00:00.000Z,0,REGULAR,Former employee,,3,0,Amazon,"Orlando, FL",Picker,,A lot of hard work,Only care about the numbers,0,0,0,amazon, ,lot hard work,care numbers
118,2024-11-30T00:00:00.000Z,2,PART_TIME,Current employees,APPROVE,5,4,Amazon review,"Ottawa, ON",Associate,,"It has good base pay, health benefits, and paid vacation.",Work is heavy sometimes and need physical strength.,5,5,5,amazon review, ,good base pay health benefits paid vacation,work heavy sometimes need physical strength
119,2024-11-29T00:00:00.000Z,1,REGULAR,"Current employee, less than 1 year",APPROVE,5,5,I loved working there,"Coconut Creek, FL",Picker/Packer,"Focus on Employee Well-Being.
Encourage a balance between productivity and employee health. Consider frequent breaks, ergonomic assessments, and wellness programs.","Employment stability 
Competitive pay
Benefits 
Diverse workforce","Physical demands 
Management challenges 
Monotonous tasks
High turnover rates
Fast spaced environment",5,0,5,loved working,focus employee wellbeing encourage balance productivity employee health consider frequent breaks ergonomic assessments wellness programs,employment stability competitive pay benefits diverse workforce,physical demands management challenges monotonous tasks high turnover rates fast spaced environment
120,2024-11-27T00:00:00.000Z,0,REGULAR,Former employee,,5,0,The pay is good but the work sometimes can be a bit.... Boring,"Charlotte, NC",Picking Associate,,Paid by the hour and if u stay long enough u get better pay well at least 1$ up,From what I've heard they treat ya like a number or a robot,0,0,0,pay good work sometimes bit boring, ,paid hour u stay long enough u get better pay well least 1,ive heard treat ya like number robot
121,2024-11-26T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",NO_OPINION,4,2,Great place to start oit,"Calgary, AB",Dock Worker,,"Great benefits, great people to work with.",The work is very physically demanding,5,5,3,great place start oit, ,great benefits great people work,work physically demanding
122,2024-11-23T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",APPROVE,4,3,Salary at Amazon,"Sioux Falls, SD",Reliability & Maintenance Engineering,,Good pay from the company and lovely colleagues,Too much heat and a lot of noise,4,4,4,salary amazon, ,good pay company lovely colleagues,much heat lot noise
123,2024-11-20T00:00:00.000Z,0,REGULAR,Former employee,,2,3,nothign,"St. Thomas, ON",Warehouse Worker,,good pay and nice shift hours,politics and partiality play a major role,4,1,2,nothign, ,good pay nice shift hours,politics partiality play major role
124,2024-11-19T00:00:00.000Z,2,REGULAR,Former employees,,3,1,General,"Dartford, England",Warehouse Operative,,Flexible working schedules and good pay,Extremely physical. Employees treated as machine sometimes.,4,3,4,general, ,flexible working schedules good pay,extremely physical employees treated machine sometimes
125,2024-11-18T00:00:00.000Z,0,REGULAR,Former employee,,1,1,Review,"Ottawa, ON",Warehouse Associate,"Treat associates with respect and dignity. Foster a more supportive environment, especially during challenging times, and ensure fair treatment for all employees, including those dealing with work-related injuries.","Good benefits.
Valuable working experience.
Opportunities to learn and grow.","Poor management support.
Lack of understanding during personal hardships.
Unfair treatment when injured on the job.
High-pressure environment with unrealistic expectations at times.",1,1,1,review,treat associates respect dignity foster supportive environment especially challenging times ensure fair treatment employees including dealing workrelated injuries,good benefits valuable working experience opportunities learn grow,poor management support lack understanding personal hardships unfair treatment injured job highpressure environment unrealistic expectations times
126,2025-10-23,3,REGULAR,Former Emplpyee,DSIAPPROVE,0,2,Nepotism and Ethnocentrism,"St. Thomas, ON",Amazon Associare t1,,PTO and task are easy to lean pays the bills,Almost 99% of workers are Indian/South Asian Tough to get promoted because of nepotism/ethnocentrism No meritocracy A lot of lazy co-workers,0,0,0,nepotism ethnocentrism, ,pto task easy lean pays bills,almost 99 workers indiansouth asian tough get promoted nepotismethnocentrism meritocracy lot lazy coworkers
127,2025-03-25,3,REGULAR,Former Employee,APPROVE,0,0,"Continuous work without sitting, almost all location with no public transportation, lack of chance in promotion and new skills as they show they are giving fair chance to everyone but it's not true at ground level","St. Thomas, ON",FC Associate I,,"Pay and Benefits they provide like maternity, accommodation, insurance",Poor Work Conditions and Management Support: Unfair Workplace Practices and Lack of Growth Opportunities:,0,0,0,continuous work without sitting almost location public transportation lack chance promotion new skills show giving fair chance everyone true ground level, ,pay benefits provide like maternity accommodation insurance,poor work conditions management support unfair workplace practices lack growth opportunities
